# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition
# File: C:\Users\norbert.takacs\SRC\norberttak\homecockpit\fpga\homecockpit.csv
# Generated on: Sun Aug 27 08:46:29 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk,Input,PIN_R20,5B,B5B_N0,PIN_R20,3.3-V LVTTL,,,,,,,,,,,,,
cpu_ad_sel,Input,PIN_R8,3A,B3A_N0,PIN_R8,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[9],Bidir,PIN_P8,3A,B3A_N0,PIN_P8,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[8],Bidir,PIN_U22,5A,B5A_N0,PIN_U22,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[7],Bidir,PIN_U19,5A,B5A_N0,PIN_U19,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[6],Bidir,PIN_T19,5A,B5A_N0,PIN_T19,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[5],Bidir,PIN_T22,5B,B5B_N0,PIN_T22,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[4],Bidir,PIN_P20,5B,B5B_N0,PIN_P20,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[3],Bidir,PIN_M21,6A,B6A_N0,PIN_M21,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[2],Bidir,PIN_M26,6A,B6A_N0,PIN_M26,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[1],Bidir,PIN_K26,6A,B6A_N0,PIN_K26,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[0],Bidir,PIN_E26,6A,B6A_N0,PIN_E26,3.3-V LVTTL,,,,,,,,,,,,,
cpu_address_data[2](n),Bidir,,,,,3.3-V LVTTL,,,,,,,,,,,,,
cpu_irq,Output,PIN_G26,6A,B6A_N0,PIN_G26,3.3-V LVTTL,,,,,,,,,,,,,
cpu_rd,Input,PIN_R9,3A,B3A_N0,PIN_R9,3.3-V LVTTL,,,,,,,,,,,,,
cpu_wr,Input,PIN_R10,3A,B3A_N0,PIN_R10,3.3-V LVTTL,,,,,,,,,,,,,
input_0[7],Input,PIN_AC10,3B,B3B_N0,PIN_AC10,1.2 V,,,,,,,,,,,,,
input_0[6],Input,PIN_V10,3B,B3B_N0,PIN_V10,1.2 V,,,,,,,,,,,,,
input_0[5],Input,PIN_AB10,3B,B3B_N0,PIN_AB10,1.2 V,,,,,,,,,,,,,
input_0[4],Input,PIN_W11,3B,B3B_N0,PIN_W11,1.2 V,,,,,,,,,,,,,
input_0[3],Input,PIN_AC8,3B,B3B_N0,PIN_AC8,1.2 V,,,,,,,,,,,,,
input_0[2],Input,PIN_AD13,4A,B4A_N0,PIN_AD13,1.2 V,,,,,,,,,,,,,
input_0[1],Input,PIN_AE10,4A,B4A_N0,PIN_AE10,1.2 V,,,,,,,,,,,,,
input_0[0],Input,PIN_AC9,3B,B3B_N0,PIN_AC9,1.2 V,,,,,,,,,,,,,
input_1[7],Input,PIN_AF9,3B,B3B_N0,PIN_AF9,1.2 V,,,,,,,,,,,,,
input_1[6],Input,PIN_AE19,4A,B4A_N0,PIN_AE19,1.2 V,,,,,,,,,,,,,
input_1[5],Input,PIN_Y11,3B,B3B_N0,PIN_Y11,1.2 V,,,,,,,,,,,,,
input_1[4],Input,,,,PIN_T9,1.2 V,,,,,,,,,,,,,
